sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
433,2039-12-07,2039,12,7,58,3,6,58,38,1188,239,1375
434,2039-12-08,2039,12,8,60,3,5,48,37,1187,217,1359
435,2039-12-09,2039,12,9,56,3,4,34,36,1162,196,1334
436,2039-12-10,2039,12,10,64,3,11,32,40,1154,252,1326
437,2039-12-11,2039,12,11,129,12,10,73,40,1124,368,1368
438,2039-12-12,2039,12,12,126,12,5,83,37,1125,369,1351
439,2039-12-13,2039,12,13,111,11,10,71,43,1123,331,1334
440,2039-12-14,2039,12,14,186,19,54,196,104,1124,972,1521
441,2039-12-15,2039,12,15,253,32,16,878,75,1156,1598,1748
442,2039-12-16,2039,12,16,253,32,10,901,60,1182,1550,2159
443,2039-12-17,2039,12,17,216,28,9,366,56,1193,1148,2088
444,2039-12-18,2039,12,18,186,25,9,190,53,1216,738,1915
445,2039-12-19,2039,12,19,176,23,8,151,52,1216,513,1827
446,2039-12-20,2039,12,20,171,22,8,135,53,1220,442,1813
447,2039-12-21,2039,12,21,161,21,8,139,53,1243,496,1824
448,2039-12-22,2039,12,22,156,19,8,311,51,1396,721,1882
449,2039-12-23,2039,12,23,152,18,7,404,50,1533,767,2200
450,2039-12-24,2039,12,24,145,17,7,230,49,1478,586,2283
451,2039-12-25,2039,12,25,146,17,7,152,47,1422,480,2014
452,2039-12-26,2039,12,26,135,15,7,135,45,1374,407,1825
453,2039-12-27,2039,12,27,135,15,7,130,44,1291,386,1750
454,2039-12-28,2039,12,28,128,14,7,125,43,1250,371,1638
455,2039-12-29,2039,12,29,124,14,7,122,43,1249,363,1606
456,2039-12-30,2039,12,30,124,13,5,117,43,1182,337,1581
457,2039-12-31,2039,12,31,129,15,5,109,43,1182,337,1581
458,2040-01-01,2040,1,1,150,19,8,84,52,2460,657,3570
459,2040-01-02,2040,1,2,152,18,8,77,51,2356,630,3422
460,2040-01-03,2040,1,3,188,21,8,72,51,2182,629,3339
461,2040-01-04,2040,1,4,188,25,9,152,63,2214,652,3346
462,2040-01-05,2040,1,5,210,26,12,462,86,2111,698,3565
463,2040-01-06,2040,1,6,201,23,8,197,59,1968,618,3284
464,2040-01-07,2040,1,7,197,23,8,144,55,1846,562,3061
465,2040-01-08,2040,1,8,173,26,7,123,53,1789,533,2906
466,2040-01-09,2040,1,9,163,23,8,105,53,1647,527,2855
467,2040-01-10,2040,1,10,210,29,11,238,114,1699,634,2920
468,2040-01-11,2040,1,11,263,51,14,396,113,1938,1804,3214
469,2040-01-12,2040,1,12,250,55,10,216,80,2042,1375,3768
470,2040-01-13,2040,1,13,319,59,10,163,70,2030,1008,3643
471,2040-01-14,2040,1,14,295,57,8,127,60,1985,849,3346
472,2040-01-15,2040,1,15,268,46,8,102,56,1881,665,3186
473,2040-01-16,2040,1,16,221,53,7,93,58,1879,627,3006
474,2040-01-17,2040,1,17,206,44,7,91,55,1838,581,2955
475,2040-01-18,2040,1,18,244,39,7,79,61,1766,433,2703
476,2040-01-19,2040,1,19,188,35,7,76,52,1763,428,2591
477,2040-01-20,2040,1,20,178,30,8,76,56,1675,460,2531
478,2040-01-21,2040,1,21,169,35,7,81,54,1549,484,2032
479,2040-01-22,2040,1,22,150,35,7,84,51,1479,526,2023
480,2040-01-23,2040,1,23,141,30,7,64,51,1544,522,2104
481,2040-01-24,2040,1,24,131,25,8,60,50,1674,536,2313
482,2040-01-25,2040,1,25,150,26,7,62,53,1803,503,2384
483,2040-01-26,2040,1,26,131,26,9,81,59,1350,469,1823
484,2040-01-27,2040,1,27,124,26,7,80,50,1414,444,2016
485,2040-01-28,2040,1,28,120,23,6,67,47,1544,427,2153
486,2040-01-29,2040,1,29,116,21,7,62,45,1672,425,2302
487,2040-01-30,2040,1,30,113,19,6,58,43,1673,426,2392
488,2040-01-31,2040,1,31,109,18,8,77,63,1545,510,2140
489,2040-02-01,2040,2,1,109,17,8,89,59,1484,495,2138
490,2040-02-02,2040,2,2,105,15,8,82,53,1620,477,2242
491,2040-02-03,2040,2,3,105,15,7,77,50,1691,476,2315
492,2040-02-04,2040,2,4,98,14,7,74,54,1693,476,2365
493,2040-02-05,2040,2,5,94,14,7,75,53,1692,493,2345
494,2040-02-06,2040,2,6,84,13,7,80,50,1627,477,2235
495,2040-02-07,2040,2,7,75,13,7,84,48,1628,505,2308
496,2040-02-08,2040,2,8,84,12,8,127,53,1629,511,2326
497,2040-02-09,2040,2,9,94,12,8,159,54,1630,511,2319
498,2040-02-10,2040,2,10,113,23,10,337,62,1695,559,2391
499,2040-02-11,2040,2,11,368,55,22,950,111,2212,847,2843
500,2040-02-12,2040,2,12,492,90,25,927,138,2535,1519,3517
501,2040-02-13,2040,2,13,308,55,15,448,86,3052,1552,3805
502,2040-02-14,2040,2,14,1914,207,22,510,122,3698,1608,4350
503,2040-02-15,2040,2,15,1274,249,24,498,141,4254,3656,5139
504,2040-02-16,2040,2,16,829,180,19,337,102,6603,3075,7173
505,2040-02-17,2040,2,17,732,166,17,267,95,7309,3178,8664
506,2040-02-18,2040,2,18,2439,346,29,736,148,7112,2433,9506
507,2040-02-19,2040,2,19,4823,2142,112,1716,490,8975,6795,12205
508,2040-02-20,2040,2,20,1432,752,42,705,211,30551,7423,22912
509,2040-02-21,2040,2,21,850,395,28,429,142,31576,4121,37844
